"","BioHub_Name","Plate","Well","Column","Project","SampleType","Mouse","Date","Day","Isolator","Isolator_2","Community","MouseType","Isolate","Isolate_Source","Diet","DNA.Extracted","S_Number","dedup","hostRemoved","raw"
"66","MouseExp3_p2_B12_Distal_m8Normal",2,"B",12,"MouseExp3","Distal","m8","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S120",3322646,2056214,20198404
"67","MouseExp3_p2_B1_Proximal_m5Normal",2,"B",1,"MouseExp3","Proximal","m5","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S109",4167812,809902,28175119
"68","MouseExp3_p2_B2_Mid_m5Normal",2,"B",2,"MouseExp3","Mid","m5","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S110",5574411,3295979,42898113
"69","MouseExp3_p2_B3_Distal_m5Normal",2,"B",3,"MouseExp3","Distal","m5","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S111",5565097,4757141,44182917
"70","MouseExp3_p2_B4_Proximal_m6Normal",2,"B",4,"MouseExp3","Proximal","m6","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S112",15105662,2720991,126245171
"71","MouseExp3_p2_B5_Mid_m6Normal",2,"B",5,"MouseExp3","Mid","m6","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S113",5276389,2344587,40630180
"72","MouseExp3_p2_B6_Distal_m6Normal",2,"B",6,"MouseExp3","Distal","m6","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S114",329,324,1040
"73","MouseExp3_p2_B7_Proximal_m7Normal",2,"B",7,"MouseExp3","Proximal","m7","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S115",15113,14989,45554
"74","MouseExp3_p2_B8_Mid_m7Normal",2,"B",8,"MouseExp3","Mid","m7","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S116",4324834,3176227,33770132
"75","MouseExp3_p2_B9_Distal_m7Normal",2,"B",9,"MouseExp3","Distal","m7","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S117",6737219,1522198,50909059
"76","MouseExp3_p2_C10_Proximal_m12noFiber",2,"C",10,"MouseExp3","Proximal","m12","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S130",1280707,582688,6832733
"77","MouseExp3_p2_C11_Mid_m12noFiber",2,"C",11,"MouseExp3","Mid","m12","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S131",3517445,2716917,27097076
"78","MouseExp3_p2_C12_Distal_m12noFiber",2,"C",12,"MouseExp3","Distal","m12","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S132",8377448,2141268,63692965
"79","MouseExp3_p2_C1_Proximal_m9noFiber",2,"C",1,"MouseExp3","Proximal","m9","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S121",9504887,866139,80502990
"80","MouseExp3_p2_C2_Mid_m9noFiber",2,"C",2,"MouseExp3","Mid","m9","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S122",10209336,10189621,82044116
"81","MouseExp3_p2_C3_Distal_m9noFiber",2,"C",3,"MouseExp3","Distal","m9","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S123",4557074,2316717,32116291
"82","MouseExp3_p2_C4_Proximal_m10noFiber",2,"C",4,"MouseExp3","Proximal","m10","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S124",6817421,942471,60411779
"83","MouseExp3_p2_C5_Mid_m10noFiber",2,"C",5,"MouseExp3","Mid","m10","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S125",3177759,2949056,20453026
"84","MouseExp3_p2_C6_Distal_m10noFiber",2,"C",6,"MouseExp3","Distal","m10","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S126",4683465,2360498,38728378
"85","MouseExp3_p2_C7_Proximal_m11noFiber",2,"C",7,"MouseExp3","Proximal","m11","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S127",3122900,167619,16669426
"86","MouseExp3_p2_C8_Mid_m11noFiber",2,"C",8,"MouseExp3","Mid","m11","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S128",4472662,3357630,40785711
"87","MouseExp3_p2_C9_Distal_m11noFiber",2,"C",9,"MouseExp3","Distal","m11","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","noFiber","","S129",5245929,3423350,41961473
